Class_ID,Sign_Name
0,"( 0, b'Speed limit (20km/h)')"
1,"( 1, b'Speed limit (30km/h)')"
2,"( 2, b'Speed limit (50km/h)')"
3,"( 3, b'Speed limit (60km/h)')"
4,"( 4, b'Speed limit (70km/h)')"
5,"( 5, b'Speed limit (80km/h)')"
6,"( 6, b'End of speed limit (80km/h)')"
7,"( 7, b'Speed limit (100km/h)')"
8,"( 8, b'Speed limit (120km/h)')"
9,"( 9, b'No passing')"
10,"(10, b'No passing for vehicles over 3.5 metric tons')"
11,"(11, b'Right-of-way at the next intersection')"
12,"(12, b'Priority road')"
13,"(13, b'Yield') "
14,"(14, b'Stop')"
15,"(15, b'No vehicles')"
16,"(16, b'Vehicles over 3.5 metric tons prohibited')"
17,"(17, b'No entry')"
18,"(18, b'General caution')"
19,"(19, b'Dangerous curve to the left')"
20,"(20, b'Dangerous curve to the right')"
21,"(21, b'Double curve')"
22,"(22, b'Bumpy road')"
23,"(23, b'Slippery road')"
24,"(24, b'Road narrows on the right')"
25,"(25, b'Road work')"
26,"(26, b'Traffic signals')"
27,"(27, b'Pedestrians')"
28,"(28, b'Children crossing')"
29,"(29, b'Bicycles crossing')"
30,"(30, b'Beware of ice/snow')"
31,"(31, b'Wild animals crossing')"
32,"(32, b'End of all speed and passing limits')"
33,"(33, b'Turn right ahead')"
34,"(34, b'Turn left ahead')"
35,"(35, b'Ahead only')"
36,"(36, b'Go straight or right')"
37,"(37, b'Go straight or left')"
38,"(38, b'Keep right')"
39,"(39, b'Keep left')"
40,"(40, b'Roundabout mandatory')"
41,"(41, b'End of no passing')"
42,"(42, b'End of no passing by vehicles over 3.5 metric tons')"
